Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2019-01-03 10:30,S1_LX_TP1,1288.647,7.7,9873.2249,49.36,0.50,61.59,0.62,-30.31,-0.31,49.36,0.49
1,Entry long,2019-01-01 04:30,S1_LE,1282.237,7.7,9873.2249,49.36,0.50,61.59,0.62,-30.31,-0.31,49.36,0.49
2,Exit long,2019-01-04 11:00,S1_LX_TP1,1295.847,7.7,9928.3877,49.63,0.50,70.35,0.71,-10.79,-0.11,98.99,0.99
2,Entry long,2019-01-04 00:00,S1_LE,1289.401,7.7,9928.3877,49.63,0.50,70.35,0.71,-10.79,-0.11,98.99,0.99
3,Exit long,2019-01-07 14:00,S1_LX_TP1,1291.234,7.7,9893.0447,49.46,0.50,54.74,0.55,-1.62,-0.02,148.45,1.48
3,Entry long,2019-01-07 09:00,S1_LE,1284.811,7.7,9893.0447,49.46,0.50,54.74,0.55,-1.62,-0.02,148.45,1.48
4,Exit long,2019-01-09 23:30,S1_LX_TP1,1289.933,7.7,9883.0809,49.4,0.50,63.67,0.64,-33.24,-0.34,197.85,1.98
4,Entry long,2019-01-08 20:30,S1_LE,1283.517,7.7,9883.0809,49.4,0.50,63.67,0.64,-33.24,-0.34,197.85,1.98
5,Exit long,2019-01-18 17:00,S1_SL,1284.226,7.7,9938.2437,-49.7,-0.50,39.96,0.40,-49.7,-0.50,148.15,1.48
5,Entry long,2019-01-14 09:30,S1_LE,1290.681,7.7,9938.2437,-49.7,-0.50,39.96,0.40,-49.7,-0.50,148.15,1.48
6,Exit long,2019-01-28 20:00,S1_LX_TP1,1299.099,7.7,9876.1047,126.96,1.29,167.85,1.70,-47.82,-0.48,275.11,2.75
6,Entry long,2019-01-21 08:00,S1_LE,1282.611,7.7,9876.1047,126.96,1.29,167.85,1.70,-47.82,-0.48,275.11,2.75
7,Exit long,2019-01-29 18:30,S1_LX_TP1,1308.379,7.6,9894.2196,49.46,0.50,56.38,0.57,-1.3,-0.01,324.57,3.25
7,Entry long,2019-01-28 23:30,S1_LE,1301.871,7.6,9894.2196,49.46,0.50,56.38,0.57,-1.3,-0.01,324.57,3.25
8,Exit long,2019-01-31 20:30,S1_LX_TP1,1323.544,7.5,9877.2075,49.37,0.50,58.04,0.59,-1.96,-0.02,373.94,3.74
8,Entry long,2019-01-31 03:30,S1_LE,1316.961,7.5,9877.2075,49.37,0.50,58.04,0.59,-1.96,-0.02,373.94,3.74
9,Exit long,2019-02-04 12:00,S1_SL,1312.643,7.5,9894.3075,-49.48,-0.50,32.47,0.33,-49.48,-0.50,324.45,3.24
9,Entry long,2019-02-01 17:30,S1_LE,1319.241,7.5,9894.3075,-49.48,-0.50,32.47,0.33,-49.48,-0.50,324.45,3.24
10,Exit long,2019-02-07 03:00,S1_SL,1307.29,7.6,9985.3436,-49.94,-0.50,23.1,0.23,-49.94,-0.50,274.51,2.75
10,Entry long,2019-02-04 23:30,S1_LE,1313.861,7.6,9985.3436,-49.94,-0.50,23.1,0.23,-49.94,-0.50,274.51,2.75
11,Exit long,2019-02-08 20:00,S1_LX_TP1,1311.896,7.6,9920.8196,49.59,0.50,57.45,0.58,-1.3,-0.01,324.1,3.24
11,Entry long,2019-02-07 17:30,S1_LE,1305.371,7.6,9920.8196,49.59,0.50,57.45,0.58,-1.3,-0.01,324.1,3.24
12,Exit long,2019-02-13 23:30,S1_LX_TP1,1315.474,7.6,9947.8756,49.73,0.50,70.22,0.71,-20,-0.20,373.83,3.74
12,Entry long,2019-02-12 00:30,S1_LE,1308.931,7.6,9947.8756,49.73,0.50,70.22,0.71,-20,-0.20,373.83,3.74
13,Exit long,2019-02-15 20:00,S1_LX_TP1,1317.673,7.6,9964.5044,49.81,0.50,62.18,0.62,-30.54,-0.31,423.64,4.24
13,Entry long,2019-02-14 22:00,S1_LE,1311.119,7.6,9964.5044,49.81,0.50,62.18,0.62,-30.54,-0.31,423.64,4.24
14,Exit long,2019-02-21 03:00,S1_LX_TP1,1341.099,7.5,9943.5825,114.66,1.15,157.04,1.58,-3.83,-0.04,538.3,5.38
14,Entry long,2019-02-19 16:00,S1_LE,1325.811,7.5,9943.5825,114.66,1.15,157.04,1.58,-3.83,-0.04,538.3,5.38
15,Exit long,2019-02-21 17:00,S1_SL,1333.319,7.4,9916.1554,-49.59,-0.50,6.11,0.06,-49.59,-0.50,488.71,4.89
15,Entry long,2019-02-21 13:00,S1_LE,1340.021,7.4,9916.1554,-49.59,-0.50,6.11,0.06,-49.59,-0.50,488.71,4.89
16,Exit long,2019-02-28 00:30,S1_SL,1319.539,7.5,9946.2825,-49.74,-0.50,52.19,0.52,-49.74,-0.50,438.97,4.39
16,Entry long,2019-02-22 11:30,S1_LE,1326.171,7.5,9946.2825,-49.74,-0.50,52.19,0.52,-49.74,-0.50,438.97,4.39
17,Exit long,2019-02-28 23:00,S1_SL,1315.19,7.5,9913.5075,-49.58,-0.50,41.99,0.42,-49.58,-0.50,389.38,3.89
17,Entry long,2019-02-28 15:30,S1_LE,1321.801,7.5,9913.5075,-49.58,-0.50,41.99,0.42,-49.58,-0.50,389.38,3.89
18,Exit long,2019-03-01 16:00,S1_SL,1307.688,7.6,9988.3836,-49.95,-0.50,1.28,0.01,-49.95,-0.50,339.43,3.39
18,Entry long,2019-03-01 10:00,S1_LE,1314.261,7.6,9988.3836,-49.95,-0.50,1.28,0.01,-49.95,-0.50,339.43,3.39
19,Exit long,2019-03-04 16:30,S1_SL,1290.017,7.7,9983.0577,-49.93,-0.50,3.15,0.03,-49.93,-0.50,289.5,2.90
19,Entry long,2019-03-04 11:00,S1_LE,1296.501,7.7,9983.0577,-49.93,-0.50,3.15,0.03,-49.93,-0.50,289.5,2.90
20,Exit long,2019-03-05 23:00,S1_SL,1283.029,7.7,9928.9806,-49.66,-0.50,2.25,0.02,-49.66,-0.50,239.85,2.40
20,Entry long,2019-03-05 01:00,S1_LE,1289.478,7.7,9928.9806,-49.66,-0.50,2.25,0.02,-49.66,-0.50,239.85,2.40
21,Exit long,2019-03-08 14:30,S1_LX_TP1,1292.517,7.7,9902.8776,49.5,0.50,56.46,0.57,-43.07,-0.43,289.35,2.89
21,Entry long,2019-03-06 03:00,S1_LE,1286.088,7.7,9902.8776,49.5,0.50,56.46,0.57,-43.07,-0.43,289.35,2.89
22,Exit long,2019-03-11 22:30,S1_SL,1291.699,7.7,9996.0707,-49.99,-0.50,7.23,0.07,-49.99,-0.50,239.36,2.39
22,Entry long,2019-03-11 14:00,S1_LE,1298.191,7.7,9996.0707,-49.99,-0.50,7.23,0.07,-49.99,-0.50,239.36,2.39
23,Exit long,2019-03-13 02:30,S1_LX_TP1,1299.826,7.7,9958.8797,49.78,0.50,51.89,0.52,-12.02,-0.12,289.14,2.89
23,Entry long,2019-03-12 06:30,S1_LE,1293.361,7.7,9958.8797,49.78,0.50,51.89,0.52,-12.02,-0.12,289.14,2.89
