Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-01-03 22:30,LX_SL,2034.331,4.8,9863.4288,-98.64,-1.00,3.79,0.04,-98.64,-1.00,-98.64,-0.99
1,Entry long,2024-01-03 19:00,S2_Rev,2054.881,4.8,9863.4288,-98.64,-1.00,3.79,0.04,-98.64,-1.00,-98.64,-0.99
2,Exit long,2024-02-13 22:00,LX_SL,2000.031,4.9,9899.1515,-99,-1.00,222.29,2.25,-99,-1.00,-197.64,-1.98
2,Entry long,2024-01-08 22:30,S2_Rev,2020.235,4.9,9899.1515,-99,-1.00,222.29,2.25,-99,-1.00,-197.64,-1.98
3,Exit long,2024-03-29 01:00,LX_TP1,2218.065,4.5,9785.5875,195.71,2.00,229.23,2.34,-80.44,-0.82,-1.93,-0.02
3,Entry long,2024-03-22 00:00,S2_Rev,2174.575,4.5,9785.5875,195.71,2.00,229.23,2.34,-80.44,-0.82,-1.93,-0.02
4,Exit long,2024-04-12 23:30,LX_TP1,2382.662,4.2,9802.3464,204.83,2.09,411.13,4.19,-34.86,-0.36,202.9,2.03
4,Entry long,2024-04-10 22:00,S2_Rev,2333.892,4.2,9802.3464,204.83,2.09,411.13,4.19,-34.86,-0.36,202.9,2.03
5,Exit long,2024-04-15 22:00,LX_SL,2329.416,4.2,9882.3774,-98.83,-1.00,83.26,0.84,-98.83,-1.00,104.07,1.04
5,Entry long,2024-04-15 06:00,S2_Rev,2352.947,4.2,9882.3774,-98.83,-1.00,83.26,0.84,-98.83,-1.00,104.07,1.04
6,Exit long,2024-04-17 01:00,LX_TP1,2396.378,4.2,9867.4464,197.34,2.00,205.08,2.08,-29.05,-0.29,301.41,3.01
6,Entry long,2024-04-15 23:00,S2_Rev,2349.392,4.2,9867.4464,197.34,2.00,205.08,2.08,-29.05,-0.29,301.41,3.01
7,Exit long,2024-04-22 19:00,LX_SL,2341.044,4.2,9931.7064,-99.32,-1.00,223.43,2.25,-99.32,-1.00,202.09,2.02
7,Entry long,2024-04-18 06:30,S2_Rev,2364.692,4.2,9931.7064,-99.32,-1.00,223.43,2.25,-99.32,-1.00,202.09,2.02
8,Exit long,2024-04-23 09:30,LX_SL,2323.173,4.2,9855.8922,-98.57,-1.00,15.79,0.16,-98.57,-1.00,103.52,1.04
8,Entry long,2024-04-22 20:30,S2_Rev,2346.641,4.2,9855.8922,-98.57,-1.00,15.79,0.16,-98.57,-1.00,103.52,1.04
9,Exit long,2024-05-01 03:30,LX_SL,2289.018,4.3,9942.2063,-99.43,-1.00,173.76,1.75,-99.43,-1.00,4.09,0.04
9,Entry long,2024-04-23 10:30,S2_Rev,2312.141,4.3,9942.2063,-99.43,-1.00,173.76,1.75,-99.43,-1.00,4.09,0.04
10,Exit long,2024-05-10 03:00,LX_TP1,2336.565,4.3,9850.2293,197,2.00,206.62,2.10,-58.79,-0.60,201.09,2.01
10,Entry long,2024-05-01 06:30,S2_Rev,2290.751,4.3,9850.2293,197,2.00,206.62,2.10,-58.79,-0.60,201.09,2.01
11,Exit long,2024-05-17 21:30,LX_TP1,2396.95,4.2,9869.7984,197.39,2.00,231.79,2.35,-75.46,-0.76,398.49,3.98
11,Entry long,2024-05-13 15:30,S2_Rev,2349.952,4.2,9869.7984,197.39,2.00,231.79,2.35,-75.46,-0.76,398.49,3.98
12,Exit long,2024-05-23 13:30,LX_SL,2365.921,4.1,9798.2661,-97.99,-1.00,21.6,0.22,-97.99,-1.00,300.5,3.00
12,Entry long,2024-05-22 23:30,S2_Rev,2389.821,4.1,9798.2661,-97.99,-1.00,21.6,0.22,-97.99,-1.00,300.5,3.00
13,Exit long,2024-05-23 22:30,LX_SL,2342.946,4.2,9939.7788,-99.41,-1.00,14.05,0.14,-99.41,-1.00,201.09,2.01
13,Entry long,2024-05-23 14:30,S2_Rev,2366.614,4.2,9939.7788,-99.41,-1.00,14.05,0.14,-99.41,-1.00,201.09,2.01
14,Exit long,2024-05-30 13:30,LX_SL,2322.557,4.2,9853.2798,-98.54,-1.00,76.02,0.77,-98.54,-1.00,102.55,1.03
14,Entry long,2024-05-24 00:00,S2_Rev,2346.019,4.2,9853.2798,-98.54,-1.00,76.02,0.77,-98.54,-1.00,102.55,1.03
15,Exit long,2024-06-06 23:30,LX_TP1,2374.629,4.2,9778.1292,195.31,2.00,196.7,2.01,-57.65,-0.59,297.86,2.98
15,Entry long,2024-05-30 14:30,S2_Rev,2328.126,4.2,9778.1292,195.31,2.00,196.7,2.01,-57.65,-0.59,297.86,2.98
16,Exit long,2024-06-08 03:30,LX_SL,2288.058,4.3,9938.0353,-99.39,-1.00,14.49,0.15,-99.39,-1.00,198.48,1.98
16,Entry long,2024-06-08 00:30,S2_Rev,2311.171,4.3,9938.0353,-99.39,-1.00,14.49,0.15,-99.39,-1.00,198.48,1.98
17,Exit long,2024-06-20 14:30,LX_TP1,2343.21,4.3,9878.2438,197.56,2.00,208.27,2.11,-42.85,-0.43,396.04,3.96
17,Entry long,2024-06-10 07:00,S2_Rev,2297.266,4.3,9878.2438,197.56,2.00,208.27,2.11,-42.85,-0.43,396.04,3.96
18,Exit long,2024-06-26 21:00,LX_SL,2297.615,4.3,9979.5475,-99.8,-1.00,70.07,0.70,-99.8,-1.00,296.23,2.96
18,Entry long,2024-06-24 09:00,S2_Rev,2320.825,4.3,9979.5475,-99.8,-1.00,70.07,0.70,-99.8,-1.00,296.23,2.96
19,Exit long,2024-07-11 21:00,LX_TP1,2405.812,4.2,9906.2922,198.12,2.00,214.78,2.17,-40.07,-0.40,494.35,4.94
19,Entry long,2024-07-09 01:00,S2_Rev,2358.641,4.2,9906.2922,198.12,2.00,214.78,2.17,-40.07,-0.40,494.35,4.94
20,Exit long,2024-07-19 14:00,LX_SL,2419.777,4,9776.884,-97.78,-1.00,13,0.13,-97.78,-1.00,396.58,3.97
20,Entry long,2024-07-19 06:00,S2_Rev,2444.221,4,9776.884,-97.78,-1.00,13,0.13,-97.78,-1.00,396.58,3.97
21,Exit long,2024-07-19 21:00,LX_SL,2395.691,4.1,9921.5531,-99.22,-1.00,9.63,0.10,-99.22,-1.00,297.36,2.97
21,Entry long,2024-07-19 15:00,S2_Rev,2419.891,4.1,9921.5531,-99.22,-1.00,9.63,0.10,-99.22,-1.00,297.36,2.97
22,Exit long,2024-07-25 09:30,LX_SL,2379.752,4.1,9855.5431,-98.56,-1.00,115.7,1.17,-98.56,-1.00,198.8,1.99
22,Entry long,2024-07-19 22:00,S2_Rev,2403.791,4.1,9855.5431,-98.56,-1.00,115.7,1.17,-98.56,-1.00,198.8,1.99
23,Exit long,2024-07-31 22:00,LX_TP1,2423.826,4.2,9980.4642,199.61,2.00,221.5,2.22,-98.7,-0.99,398.4,3.98
23,Entry long,2024-07-25 14:00,S2_Rev,2376.301,4.2,9980.4642,199.61,2.00,221.5,2.22,-98.7,-0.99,398.4,3.98
24,Exit long,2024-08-05 18:30,LX_SL,2408.828,4.1,9975.9601,-99.77,-1.00,105.3,1.06,-99.77,-1.00,298.64,2.99
24,Entry long,2024-08-03 00:00,S2_Rev,2433.161,4.1,9975.9601,-99.77,-1.00,105.3,1.06,-99.77,-1.00,298.64,2.99
25,Exit long,2024-08-10 01:00,LX_TP1,2433.648,4.1,9782.3171,195.64,2.00,205.12,2.10,-28.96,-0.30,494.27,4.94
25,Entry long,2024-08-05 21:30,S2_Rev,2385.931,4.1,9782.3171,195.64,2.00,205.12,2.10,-28.96,-0.30,494.27,4.94
26,Exit long,2024-08-15 21:00,LX_SL,2432.915,4,9829.964,-98.3,-1.00,50.16,0.51,-98.3,-1.00,395.97,3.96
26,Entry long,2024-08-14 22:00,S2_Rev,2457.491,4,9829.964,-98.3,-1.00,50.16,0.51,-98.3,-1.00,395.97,3.96
27,Exit long,2024-09-14 00:30,LX_TP2,2581.134,4,9927.444,397.09,4.00,413.68,4.17,-41.44,-0.42,793.06,7.93
27,Entry long,2024-08-23 00:00,S2_Rev,2481.861,4,9927.444,397.09,4.00,413.68,4.17,-41.44,-0.42,793.06,7.93
28,Exit long,2024-10-01 02:00,LX_SL,2627.323,3.7,9819.2931,-98.2,-1.00,44.87,0.46,-98.2,-1.00,694.86,6.95
28,Entry long,2024-09-27 23:30,S2_Rev,2653.863,3.7,9819.2931,-98.2,-1.00,44.87,0.46,-98.2,-1.00,694.86,6.95
29,Exit long,2024-10-08 23:00,LX_SL,2618.637,3.7,9786.8293,-97.87,-1.00,92.69,0.95,-97.87,-1.00,596.99,5.97
29,Entry long,2024-10-03 17:00,S2_Rev,2645.089,3.7,9786.8293,-97.87,-1.00,92.69,0.95,-97.87,-1.00,596.99,5.97
30,Exit long,2024-10-16 14:00,LX_TP1,2668.671,3.8,9942.1148,198.84,2.00,206.13,2.07,-55.24,-0.56,795.83,7.96
30,Entry long,2024-10-09 01:30,S2_Rev,2616.346,3.8,9942.1148,198.84,2.00,206.13,2.07,-55.24,-0.56,795.83,7.96
31,Exit long,2024-10-30 10:30,LX_TP1,2776.088,3.6,9797.9616,195.96,2.00,217.74,2.22,-35.24,-0.36,991.78,9.92
31,Entry long,2024-10-24 00:00,S2_Rev,2721.656,3.6,9797.9616,195.96,2.00,217.74,2.22,-35.24,-0.36,991.78,9.92
32,Exit long,2024-11-06 14:00,LX_SL,2719.419,3.6,9888.8004,-98.89,-1.00,55.23,0.56,-98.89,-1.00,892.89,8.93
32,Entry long,2024-11-01 03:00,S2_Rev,2746.889,3.6,9888.8004,-98.89,-1.00,55.23,0.56,-98.89,-1.00,892.89,8.93
33,Exit long,2024-11-06 19:30,LX_SL,2698.269,3.6,9811.8936,-98.13,-1.00,29.61,0.30,-98.13,-1.00,794.77,7.95
33,Entry long,2024-11-06 15:30,S2_Rev,2725.526,3.6,9811.8936,-98.13,-1.00,29.61,0.30,-98.13,-1.00,794.77,7.95
34,Exit long,2024-11-06 21:30,LX_SL,2673.282,3.7,9991.0582,-99.91,-1.00,10.74,0.11,-99.91,-1.00,694.85,6.95
34,Entry long,2024-11-06 20:30,S2_Rev,2700.286,3.7,9991.0582,-99.91,-1.00,10.74,0.11,-99.91,-1.00,694.85,6.95
35,Exit long,2024-11-07 09:00,LX_SL,2649.022,3.7,9900.3897,-99.01,-1.00,9.02,0.09,-99.01,-1.00,595.84,5.96
35,Entry long,2024-11-07 00:00,S2_Rev,2675.781,3.7,9900.3897,-99.01,-1.00,9.02,0.09,-99.01,-1.00,595.84,5.96
36,Exit long,2024-11-08 04:30,LX_TP1,2706.656,3.7,9818.2682,196.36,2.00,210.99,2.15,-9.4,-0.10,792.2,7.92
36,Entry long,2024-11-07 10:30,S2_Rev,2653.586,3.7,9818.2682,196.36,2.00,210.99,2.15,-9.4,-0.10,792.2,7.92
37,Exit long,2024-11-11 21:30,LX_SL,2643.497,3.7,9879.7437,-98.8,-1.00,19.01,0.19,-98.8,-1.00,693.4,6.93
37,Entry long,2024-11-11 12:00,S2_Rev,2670.201,3.7,9879.7437,-98.8,-1.00,19.01,0.19,-98.8,-1.00,693.4,6.93
38,Exit long,2024-11-12 15:30,LX_SL,2595.927,3.8,9964.17,-99.65,-1.00,18.96,0.19,-99.65,-1.00,593.75,5.94
38,Entry long,2024-11-12 04:30,S2_Rev,2622.15,3.8,9964.17,-99.65,-1.00,18.96,0.19,-99.65,-1.00,593.75,5.94
39,Exit long,2024-11-14 07:30,LX_SL,2570.652,3.8,9867.156,-98.68,-1.00,84.44,0.86,-98.68,-1.00,495.07,4.95
39,Entry long,2024-11-12 19:00,S2_Rev,2596.62,3.8,9867.156,-98.68,-1.00,84.44,0.86,-98.68,-1.00,495.07,4.95
40,Exit long,2024-11-19 00:00,LX_TP1,2612.689,3.9,9989.6979,199.79,2.00,202.48,2.03,-96.71,-0.97,694.86,6.95
40,Entry long,2024-11-14 11:30,S2_Rev,2561.461,3.9,9989.6979,199.79,2.00,202.48,2.03,-96.71,-0.97,694.86,6.95
41,Exit long,2024-11-25 22:00,LX_SL,2643.557,3.7,9879.9657,-98.8,-1.00,68.41,0.69,-98.8,-1.00,596.05,5.96
41,Entry long,2024-11-25 16:30,S2_Rev,2670.261,3.7,9879.9657,-98.8,-1.00,68.41,0.69,-98.8,-1.00,596.05,5.96
42,Exit long,2024-12-11 12:30,LX_TP1,2684.384,3.8,9977.4168,223.24,2.24,299.12,3.00,-78.09,-0.78,819.3,8.19
42,Entry long,2024-11-26 04:00,S2_Rev,2625.636,3.8,9977.4168,223.24,2.24,299.12,3.00,-78.09,-0.78,819.3,8.19
43,Exit long,2024-12-13 22:00,LX_SL,2659.356,3.7,9939.014,-99.4,-1.00,24.2,0.24,-99.4,-1.00,719.9,7.20
43,Entry long,2024-12-13 02:00,S2_Rev,2686.22,3.7,9939.014,-99.4,-1.00,24.2,0.24,-99.4,-1.00,719.9,7.20
44,Exit long,2024-12-17 22:00,LX_SL,2633.157,3.7,9841.0972,-98.42,-1.00,17.7,0.18,-98.42,-1.00,621.48,6.21
44,Entry long,2024-12-14 00:00,S2_Rev,2659.756,3.7,9841.0972,-98.42,-1.00,17.7,0.18,-98.42,-1.00,621.48,6.21
45,Exit long,2025-01-03 00:30,LX_TP1,2656.355,3.8,9896.2298,197.92,2.00,204.17,2.06,-66.33,-0.67,819.4,8.19
45,Entry long,2024-12-19 09:30,S2_Rev,2604.271,3.8,9896.2298,197.92,2.00,204.17,2.06,-66.33,-0.67,819.4,8.19
46,Exit long,2025-01-06 22:00,LX_SL,2617.456,3.7,9782.4152,-97.83,-1.00,20.55,0.21,-97.83,-1.00,721.58,7.22
46,Entry long,2025-01-04 00:00,S2_Rev,2643.896,3.7,9782.4152,-97.83,-1.00,20.55,0.21,-97.83,-1.00,721.58,7.22
