Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-01-12 01:30,S2_SL,2013.046,4.9,9963.5669,-99.64,-1.00,149.94,1.50,-99.64,-1.00,-99.64,-1.00
1,Entry long,2024-01-04 02:00,S2_LE,2033.381,4.9,9963.5669,-99.64,-1.00,149.94,1.50,-99.64,-1.00,-99.64,-1.00
2,Exit long,2024-01-17 01:00,S2_SL,2026.939,4.8,9827.592,-98.28,-1.00,53.78,0.55,-98.28,-1.00,-197.93,-1.98
2,Entry long,2024-01-13 03:00,S2_LE,2047.415,4.8,9827.592,-98.28,-1.00,53.78,0.55,-98.28,-1.00,-197.93,-1.98
3,Exit long,2024-03-05 18:30,S2_LX_TP1,2126.383,4.7,9798.0477,195.95,2.00,200.5,2.05,-26.75,-0.27,-1.97,-0.02
3,Entry long,2024-03-02 04:30,S2_LE,2084.691,4.7,9798.0477,195.95,2.00,200.5,2.05,-26.75,-0.27,-1.97,-0.02
4,Exit long,2024-03-08 22:00,S2_LX_TP1,2170.685,4.6,9789.3704,195.78,2.00,263.3,2.69,-22.65,-0.23,193.81,1.94
4,Entry long,2024-03-06 07:30,S2_LE,2128.124,4.6,9789.3704,195.78,2.00,263.3,2.69,-22.65,-0.23,193.81,1.94
5,Exit long,2024-03-12 22:00,S2_SL,2153.51,4.5,9788.688,-97.89,-1.00,30.49,0.31,-97.89,-1.00,95.91,0.96
5,Entry long,2024-03-12 15:00,S2_LE,2175.264,4.5,9788.688,-97.89,-1.00,30.49,0.31,-97.89,-1.00,95.91,0.96
6,Exit long,2024-03-21 06:30,S2_LX_TP1,2200.037,4.6,9921.74,198.43,2.00,303.65,3.06,-51.52,-0.52,294.34,2.94
6,Entry long,2024-03-13 04:30,S2_LE,2156.9,4.6,9921.74,198.43,2.00,303.65,3.06,-51.52,-0.52,294.34,2.94
7,Exit long,2024-03-21 22:00,S2_SL,2177.009,4.5,9895.5045,-98.96,-1.00,60.53,0.61,-98.96,-1.00,195.38,1.95
7,Entry long,2024-03-21 09:00,S2_LE,2199.001,4.5,9895.5045,-98.96,-1.00,60.53,0.61,-98.96,-1.00,195.38,1.95
8,Exit long,2024-03-23 01:00,S2_SL,2159.645,4.5,9816.5745,-98.17,-1.00,20.88,0.21,-98.17,-1.00,97.21,0.97
8,Entry long,2024-03-22 04:00,S2_LE,2181.461,4.5,9816.5745,-98.17,-1.00,20.88,0.21,-98.17,-1.00,97.21,0.97
9,Exit long,2024-03-29 01:00,S2_LX_TP1,2217.566,4.5,9783.387,195.66,2.00,231.43,2.37,-30.99,-0.32,292.87,2.93
9,Entry long,2024-03-26 02:30,S2_LE,2174.086,4.5,9783.387,195.66,2.00,231.43,2.37,-30.99,-0.32,292.87,2.93
10,Exit long,2024-04-02 22:00,S2_LX_TP1,2264.792,4.5,9991.737,199.83,2.00,208.86,2.09,-11.53,-0.12,492.69,4.93
10,Entry long,2024-03-29 03:00,S2_LE,2220.386,4.5,9991.737,199.83,2.00,208.86,2.09,-11.53,-0.12,492.69,4.93
11,Exit long,2024-04-08 13:30,S2_LX_TP1,2335.954,4.3,9847.6536,196.95,2.00,274.72,2.79,-98.26,-1.00,689.64,6.90
