Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2019-01-29 16:00,LX_TP1,1307.252,7.8,9996.6438,199.92,2.00,203.03,2.03,-40.72,-0.41,199.92,2.00
1,Entry long,2019-01-04 23:30,S2_Rev,1281.621,7.8,9996.6438,199.92,2.00,203.03,2.03,-40.72,-0.41,199.92,2.00
2,Exit long,2019-02-20 02:00,LX_TP1,1340.167,7.6,9985.5716,199.7,2.00,205.88,2.06,-89.16,-0.89,399.62,4.00
2,Entry long,2019-02-04 12:00,S2_Rev,1313.891,7.6,9985.5716,199.7,2.00,205.88,2.06,-89.16,-0.89,399.62,4.00
3,Exit long,2019-02-28 00:00,LX_SL,1320.588,7.4,9871.0746,-98.72,-1.00,24.95,0.25,-98.72,-1.00,300.9,3.01
3,Entry long,2019-02-21 18:30,S2_Rev,1333.929,7.4,9871.0746,-98.72,-1.00,24.95,0.25,-98.72,-1.00,300.9,3.01
4,Exit long,2019-03-01 16:00,LX_SL,1306.948,7.5,9901.1325,-99.02,-1.00,54.37,0.55,-99.02,-1.00,201.87,2.02
4,Entry long,2019-02-28 04:30,S2_Rev,1320.151,7.5,9901.1325,-99.02,-1.00,54.37,0.55,-99.02,-1.00,201.87,2.02
5,Exit long,2019-03-02 02:00,LX_SL,1296.89,7.6,9955.9316,-99.57,-1.00,16.79,0.17,-99.57,-1.00,102.31,1.02
5,Entry long,2019-03-01 18:30,S2_Rev,1309.991,7.6,9955.9316,-99.57,-1.00,16.79,0.17,-99.57,-1.00,102.31,1.02
6,Exit long,2019-03-05 23:00,LX_SL,1282.614,7.7,9975.8967,-99.77,-1.00,11.39,0.11,-99.77,-1.00,2.54,0.03
6,Entry long,2019-03-04 07:30,S2_Rev,1295.571,7.7,9975.8967,-99.77,-1.00,11.39,0.11,-99.77,-1.00,2.54,0.03
7,Exit long,2019-03-21 18:30,LX_TP1,1316.826,7.7,9940.7539,198.81,2.00,226.4,2.28,-1.59,-0.02,201.34,2.01
7,Entry long,2019-03-12 02:00,S2_Rev,1291.007,7.7,9940.7539,198.81,2.00,226.4,2.28,-1.59,-0.02,201.34,2.01
8,Exit long,2019-03-28 21:30,LX_SL,1292.868,7.6,9925.0604,-99.26,-1.00,141.29,1.42,-99.26,-1.00,102.08,1.02
8,Entry long,2019-03-22 01:00,S2_Rev,1305.929,7.6,9925.0604,-99.26,-1.00,141.29,1.42,-99.26,-1.00,102.08,1.02
9,Exit long,2019-04-16 20:30,LX_SL,1278.268,7.7,9942.0937,-99.43,-1.00,149.53,1.50,-99.43,-1.00,2.65,0.03
9,Entry long,2019-03-29 07:30,S2_Rev,1291.181,7.7,9942.0937,-99.43,-1.00,149.53,1.50,-99.43,-1.00,2.65,0.03
10,Exit long,2019-05-14 08:30,LX_TP1,1302.213,7.8,9958.1118,199.15,2.00,208.41,2.09,-82.53,-0.83,201.8,2.02
10,Entry long,2019-04-16 23:00,S2_Rev,1276.681,7.8,9958.1118,199.15,2.00,208.41,2.09,-82.53,-0.83,201.8,2.02
11,Exit long,2019-05-17 22:00,LX_SL,1279.792,7.7,9953.9517,-99.55,-1.00,4,0.04,-99.55,-1.00,102.25,1.02
11,Entry long,2019-05-16 21:30,S2_Rev,1292.721,7.7,9953.9517,-99.55,-1.00,4,0.04,-99.55,-1.00,102.25,1.02
12,Exit long,2019-05-31 23:00,LX_TP1,1302.269,7.8,9959.0478,198.65,1.99,216.05,2.17,-58.51,-0.59,300.9,3.01
12,Entry long,2019-05-18 03:30,S2_Rev,1276.801,7.8,9959.0478,198.65,1.99,216.05,2.17,-58.51,-0.59,300.9,3.01
13,Exit long,2019-06-14 17:00,LX_TP1,1352.928,7.5,9948.0075,198.95,2.00,239.24,2.40,-51.01,-0.51,499.85,5.00
13,Entry long,2019-06-10 16:30,S2_Rev,1326.401,7.5,9948.0075,198.95,2.00,239.24,2.40,-51.01,-0.51,499.85,5.00
14,Exit long,2019-06-21 04:00,LX_TP2,1388.004,7.4,9876.1954,395.03,4.00,438.87,4.44,-12,-0.12,894.88,8.95
14,Entry long,2019-06-17 18:30,S2_Rev,1334.621,7.4,9876.1954,395.03,4.00,438.87,4.44,-12,-0.12,894.88,8.95
15,Exit long,2019-07-01 06:00,LX_SL,1394.157,7.1,9998.5111,-100,-1.00,116.4,1.16,-100,-1.00,794.89,7.95
15,Entry long,2019-06-26 12:30,S2_Rev,1408.241,7.1,9998.5111,-100,-1.00,116.4,1.16,-100,-1.00,794.89,7.95
16,Exit long,2019-07-01 15:00,LX_SL,1381.97,7.1,9911.1101,-99.12,-1.00,8.3,0.08,-99.12,-1.00,695.76,6.96
16,Entry long,2019-07-01 09:00,S2_Rev,1395.931,7.1,9911.1101,-99.12,-1.00,8.3,0.08,-99.12,-1.00,695.76,6.96
17,Exit long,2019-07-03 19:30,LX_TP1,1421.229,7.2,9990.7848,242.06,2.42,360.66,3.61,-38.22,-0.38,937.83,9.38
