Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2019-01-29 23:30,S2_LX_TP1,1310.822,7.7,9895.4317,197.9,2.00,204.97,2.07,-67.15,-0.68,197.9,1.98
1,Entry long,2019-01-05 05:30,S2_LE,1285.121,7.7,9895.4317,197.9,2.00,204.97,2.07,-67.15,-0.68,197.9,1.98
2,Exit long,2019-02-20 00:00,S2_LX_TP1,1338.076,7.6,9969.9916,199.39,2.00,209.9,2.11,-73.58,-0.74,397.28,3.97
2,Entry long,2019-01-30 09:30,S2_LE,1311.841,7.6,9969.9916,199.39,2.00,209.9,2.11,-73.58,-0.74,397.28,3.97
3,Exit long,2019-02-22 02:00,S2_SL,1325.57,7.4,9908.3114,-99.09,-1.00,10.63,0.11,-99.09,-1.00,298.19,2.98
3,Entry long,2019-02-21 14:30,S2_LE,1338.961,7.4,9908.3114,-99.09,-1.00,10.63,0.11,-99.09,-1.00,298.19,2.98
4,Exit long,2019-03-01 14:30,S2_SL,1310.175,7.5,9925.5825,-99.27,-1.00,72.89,0.73,-99.27,-1.00,198.92,1.99
4,Entry long,2019-02-22 07:00,S2_LE,1323.411,7.5,9925.5825,-99.27,-1.00,72.89,0.73,-99.27,-1.00,198.92,1.99
5,Exit long,2019-03-04 22:30,S2_SL,1283.287,7.7,9981.1327,-99.82,-1.00,6.15,0.06,-99.82,-1.00,99.1,0.99
5,Entry long,2019-03-04 10:00,S2_LE,1296.251,7.7,9981.1327,-99.82,-1.00,6.15,0.06,-99.82,-1.00,99.1,0.99
6,Exit long,2019-03-21 02:30,S2_LX_TP1,1311.781,7.7,9902.6697,198.04,2.00,238.08,2.40,-42.86,-0.43,297.14,2.97
6,Entry long,2019-03-05 21:00,S2_LE,1286.061,7.7,9902.6697,198.04,2.00,238.08,2.40,-42.86,-0.43,297.14,2.97
7,Exit long,2019-03-28 21:00,S2_SL,1297.381,7.6,9959.7012,-99.61,-1.00,106.65,1.07,-99.61,-1.00,197.54,1.98
7,Entry long,2019-03-22 00:00,S2_LE,1310.487,7.6,9959.7012,-99.61,-1.00,106.65,1.07,-99.61,-1.00,197.54,1.98
8,Exit long,2019-04-16 20:30,S2_SL,1278.268,7.7,9942.0937,-99.43,-1.00,149.53,1.50,-99.43,-1.00,98.11,0.98
8,Entry long,2019-03-29 10:30,S2_LE,1291.181,7.7,9942.0937,-99.43,-1.00,149.53,1.50,-99.43,-1.00,98.11,0.98
9,Exit long,2019-05-14 08:30,S2_LX_TP1,1302.346,7.8,9959.1258,199.17,2.00,207.39,2.08,-83.55,-0.84,297.28,2.97
9,Entry long,2019-04-17 09:30,S2_LE,1276.811,7.8,9959.1258,199.17,2.00,207.39,2.08,-83.55,-0.84,297.28,2.97
10,Exit long,2019-05-16 22:30,S2_SL,1286.356,7.6,9875.0676,-98.76,-1.00,11.77,0.12,-98.76,-1.00,198.52,1.99
10,Entry long,2019-05-14 13:30,S2_LE,1299.351,7.6,9875.0676,-98.76,-1.00,11.77,0.12,-98.76,-1.00,198.52,1.99
11,Exit long,2019-05-21 19:00,S2_SL,1273.137,7.7,9902.1846,-99.03,-1.00,22.58,0.23,-99.03,-1.00,99.49,0.99
11,Entry long,2019-05-17 12:30,S2_LE,1285.998,7.7,9902.1846,-99.03,-1.00,22.58,0.23,-99.03,-1.00,99.49,0.99
12,Exit long,2019-06-04 02:00,S2_LX_TP2,1324.502,7.8,9933.7758,397.34,4.00,408.24,4.11,-10.62,-0.11,496.83,4.97
12,Entry long,2019-05-22 01:30,S2_LE,1273.561,7.8,9933.7758,397.34,4.00,408.24,4.11,-10.62,-0.11,496.83,4.97
13,Exit long,2019-06-20 14:30,S2_LX_TP2,1383.986,7.5,9980.6775,399.22,4.00,473.78,4.75,-83.68,-0.84,896.04,8.96
13,Entry long,2019-06-06 13:00,S2_LE,1330.757,7.5,9980.6775,399.22,4.00,473.78,4.75,-83.68,-0.84,896.04,8.96
14,Exit long,2019-06-24 20:00,S2_LX_TP1,1407.895,7.2,9938.0952,198.75,2.00,227.08,2.28,-10.02,-0.10,1094.79,10.95
14,Entry long,2019-06-20 17:00,S2_LE,1380.291,7.2,9938.0952,198.75,2.00,227.08,2.28,-10.02,-0.10,1094.79,10.95
15,Exit long,2019-06-26 01:00,S2_SL,1416.462,6.9,9872.3199,-98.73,-1.00,38.15,0.39,-98.73,-1.00,996.06,9.96
15,Entry long,2019-06-25 17:00,S2_LE,1430.771,6.9,9872.3199,-98.73,-1.00,38.15,0.39,-98.73,-1.00,996.06,9.96
16,Exit long,2019-06-27 20:30,S2_SL,1399.691,7,9896.817,-98.98,-1.00,10.07,0.10,-98.98,-1.00,897.08,8.97
16,Entry long,2019-06-26 10:00,S2_LE,1413.831,7,9896.817,-98.98,-1.00,10.07,0.10,-98.98,-1.00,897.08,8.97
17,Exit long,2019-07-01 06:00,S2_SL,1393.019,7.1,9990.3461,-99.91,-1.00,124.57,1.25,-99.91,-1.00,797.17,7.97
17,Entry long,2019-06-28 02:30,S2_LE,1407.091,7.1,9990.3461,-99.91,-1.00,124.57,1.25,-99.91,-1.00,797.17,7.97
18,Exit long,2019-07-03 19:30,S2_LX_TP1,1421.229,7.1,9882.4971,208.23,2.11,325.17,3.29,-2.14,-0.02,1005.4,10.05
18,Entry long,2019-07-02 22:30,S2_LE,1391.901,7.1,9882.4971,208.23,2.11,325.17,3.29,-2.14,-0.02,1005.4,10.05
19,Exit long,2019-07-05 20:30,S2_SL,1402.414,7,9916.067,-99.17,-1.00,53.33,0.54,-99.17,-1.00,906.23,9.06
19,Entry long,2019-07-04 07:00,S2_LE,1416.581,7,9916.067,-99.17,-1.00,53.33,0.54,-99.17,-1.00,906.23,9.06
20,Exit long,2019-07-11 08:30,S2_LX_TP1,1424.144,7.1,9913.1691,198.25,2.00,211.43,2.13,-75.62,-0.76,1104.48,11.04
20,Entry long,2019-07-05 23:30,S2_LE,1396.221,7.1,9913.1691,198.25,2.00,211.43,2.13,-75.62,-0.76,1104.48,11.04
21,Exit long,2019-07-11 22:30,S2_SL,1411.145,7,9977.807,-99.79,-1.00,12.31,0.12,-99.79,-1.00,1004.69,10.05
