time,open,high,low,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1967-01-30,119.89,119.89,119.89,119.89,,,,,,
1967-02-27,119.81,119.81,119.81,119.81,,,,,,
1967-03-27,119.79,119.79,119.79,119.79,,,,,,
1967-04-24,119.72,119.72,119.72,119.72,,,,,,
1967-05-29,119.64,119.64,119.64,119.64,,,,,,
1967-06-26,119.63,119.63,119.63,119.63,,,,,,
1967-07-31,119.7,119.7,119.7,119.7,,,,,,
1967-08-28,119.75,119.75,119.75,119.75,,,,,,
1967-09-25,119.74,119.74,119.74,119.74,,,,,,
1967-10-30,119.73,119.73,119.73,119.73,,,,,,
1967-11-27,120.27,120.27,120.27,120.27,,,,,,
1967-12-25,121.79,121.79,121.79,121.79,,,,,,
1968-01-29,122.07,122.07,122.07,122.07,,,,,,
1968-02-26,122.08,122.08,122.08,122.08,,,,,,
1968-03-25,122,122,122,122,87.2791519434629,,,,,
1968-04-29,122.01,122.01,122.01,122.01,87.3273761169781,,,,,
1968-05-27,122.04,122.04,122.04,122.04,87.48070868572138,,,,,
1968-06-24,122.22,122.22,122.22,122.22,88.38851183214344,,,,,
1968-07-29,122.18,122.18,122.18,122.18,86.88083556997951,,,,,
1968-08-26,122.18,122.18,122.18,122.18,86.88083556997952,,,,,
1968-09-30,121.98,121.98,121.98,121.98,79.06073245278174,,,,,
1968-10-28,122.03,122.03,122.03,122.03,79.5561549938012,,,,,
1968-11-25,121.95,121.95,121.95,121.95,76.43985818379825,,,,,
1968-12-30,121.96,121.96,121.96,121.96,76.56343972243988,,,,,
1969-01-27,122.08,122.08,122.08,122.08,78.05126239901634,,,,,
1969-02-24,122.19,122.19,122.19,122.19,79.34565171754309,,,,,
1969-03-24,122.29,122.29,122.29,122.29,80.47306084163621,,,,,
1969-04-28,122.26,122.26,122.26,122.26,79.07850964367161,82.34329211949667,,,,
1969-05-26,122.24,122.24,122.24,122.24,78.1067343632667,81.68811943519692,,,,
1969-06-30,122.34,122.34,122.34,122.34,79.46550480370823,81.1265571985348,,,,
1969-07-28,122.36,122.36,122.36,122.36,79.73637877917707,80.57339077663877,,,,
1969-08-25,123.46,123.46,123.46,123.46,88.62439831466861,80.59023981110485,,,,
1969-09-29,123.82,123.82,123.82,123.82,90.1474999561325,80.82357298154434,,,,
1969-10-27,122.18,122.18,122.18,122.18,54.40825678594151,78.50410306839878,,,,
1969-11-24,121.77,121.77,121.77,121.77,49.16094817616285,76.36840419149743,,,,
1969-12-29,121.74,121.74,121.74,121.74,48.790159794523895,74.17083310583476,,,,
1970-01-26,121.75,121.75,121.75,121.75,48.92843631750951,72.205731543957,,,,
1970-02-23,121.72,121.72,121.72,121.72,48.50529047554019,70.2015780263213,,,,
1970-03-30,121.6,121.6,121.6,121.6,46.763173193385455,67.96671451163338,,,,
1970-04-27,121.36,121.36,121.36,121.36,43.405433272844704,65.39955605129778,,,,
1970-05-25,121.32,121.32,121.32,121.32,42.853153295635835,62.712419798012036,,,,
1970-06-29,120.98,120.98,120.98,120.98,38.38267445020694,59.805574427050274,,,,
1970-07-27,120.9,120.9,120.9,120.9,37.39418711398153,56.897535337815626,,,,
1970-08-31,120.7,120.7,120.7,120.7,34.96952982385665,53.71925141068336,,,,
1970-09-28,120.62,120.62,120.62,120.62,34.019326273331686,50.45374766026583,,,,
1970-10-26,120.64,120.64,120.64,120.64,34.49851072980317,46.58761283277545,,,,
1970-11-30,120.55,120.55,120.55,120.55,33.32560993576179,42.52890640274897,,,,
1970-12-28,120.64,120.64,120.64,120.64,35.6805922664342,41.19121607992702,,,,
1971-01-04,120.53,120.55,120.49,120.53,34.09547915354514,40.11511114974004,,,,
1971-01-11,120.53,120.53,120.44,120.44,32.811127736366515,38.973751717014515,,,,
1971-01-18,120.41,120.41,120.31,120.31,30.994929497411746,37.69278694415039,,,,
1971-01-25,120.27,120.27,120.24,120.24,30.030987124211492,36.373193847626915,,,,
1971-02-01,120.26,120.28,120.24,120.26,30.69419045469148,35.22540936629163,,,,
1971-02-08,120.26,120.29,120.25,120.29,31.73936119294318,34.39211850344152,,,,
1971-02-15,120.22,120.22,120.18,120.18,29.95554174891022,33.47086053581826,,,,
1971-02-22,120.14,120.26,120.12,120.26,32.908792385071706,33.079868959737176,,,,
1971-03-01,120.25,120.25,120.17,120.17,31.30945797746088,32.6452454499857,,,,
1971-03-08,120.13,120.18,120.13,120.18,31.706602182214667,32.41217918986842,,,,
1971-03-15,120.19,120.19,120.16,120.18,31.706602182214667,32.246984611931495,,,,
1971-03-22,120.18,120.18,120.16,120.17,31.49541479103469,32.03247775916231,,,,
1971-03-29,120.18,120.18,120.17,120.18,31.983300970773143,31.93659854737741,,,,
1971-04-05,120.19,120.22,120.16,120.22,34.00788405263681,31.817119389249033,,,,
1971-04-12,120.22,120.31,120.22,120.23,34.532534769564336,31.848337647536113,,,,
1971-04-19,120.29,120.29,120.23,120.27,36.700359349604085,32.126139905624505,,,,
1971-04-26,120.27,120.27,120.18,120.19,34.25712985268288,32.359154216715304,,,,
1971-05-03,120.17,120.17,119.44,119.44,20.487185108600514,31.677454072743092,,,,
1971-05-10,119.12,119.56,119.12,119.34,19.369247924192393,30.868529606278866,,,,
1971-05-17,119.33,119.33,118.91,118.91,15.462122456860797,29.705869696558697,,,,
1971-05-24,118.98,119.43,118.98,119.43,33.05004231015492,29.926905450933322,,,,
1971-05-31,119.69,119.69,119.27,119.27,30.918550878861453,29.784745343346874,,,,
1971-06-07,119.23,119.25,119.19,119.24,30.521087129141407,29.72843313989548,,,,
1971-06-14,119.29,119.34,119.29,119.29,32.08804761047904,29.75567924191436,,,,
1971-06-21,119.32,119.32,119.16,119.21,30.887731304427106,29.697188464929535,,,,
1971-06-28,119.25,119.25,119.16,119.16,30.129146834736247,29.599597896622505,,,,
1971-07-05,119.21,119.21,119.17,119.17,30.496799247776934,29.493419202122773,,,,
1971-07-12,119.17,119.17,118.92,118.92,26.712537167621363,28.972322996050245,,,,
1971-07-19,118.92,118.92,118.76,118.76,24.607949464034732,28.263424045655274,,,,
1971-07-26,118.8,118.83,118.76,118.76,24.607949464034732,27.399680482400317,,,,
1971-08-02,118.79,118.81,118.54,118.58,22.314156323790655,26.5466109446223,,,,
1971-08-09,118.03,118.1,117.82,117.84,15.79552109631068,26.211492086601595,,,,
1971-08-16,117.84,117.84,117.84,117.84,15.79552109631068,25.956225884610042,,,,
1971-08-23,117.84,117.84,117.84,117.84,15.79552109631068,25.980040073142174,,,,
1971-08-30,117.84,117.84,116.35,116.38,9.184160377064401,24.275334220778568,,,,
1971-09-06,116.42,116.42,116.32,116.32,9.017125150465006,22.71094666875025,,,,
1971-09-13,116.29,116.29,115.91,115.91,7.952731616143254,21.09892127496467,,,,
1971-09-20,115.52,115.56,114.96,114.96,6.143241707564073,19.245720853327885,,,,
1971-09-27,115.03,115.06,114.81,114.81,5.914416390450654,17.461912645186707,,,,
1971-10-04,114.84,114.84,114.7,114.7,5.745406038635025,15.72021687403662,,,,
1971-10-11,114.66,114.88,114.66,114.82,8.806921998808264,14.170939927681715,,,,
1971-10-18,114.64,114.66,114.58,114.6,8.276172430584879,12.854056732179108,,,,
1971-10-25,114.53,114.65,114.53,114.65,9.609449887200242,11.78273533383379,,,,
1971-11-01,114.63,114.68,114.57,114.57,9.374649888548333,10.69464250701333,,,,
1971-11-08,114.62,114.68,114.59,114.59,9.96692886952546,9.812697688851532,,,,
1971-11-15,114.54,114.58,114.37,114.37,9.250735562335407,9.3452130078533,,,,
1971-11-22,114.31,114.31,113.93,113.93,8.01089802282543,8.789168502604353,,,,
1971-11-29,113.93,114.01,113.25,113.25,6.549860182718049,8.12876415163345,,,,
1971-12-06,113.11,113.13,112.94,112.94,6.011582314903777,7.902151432907693,,,,
1971-12-13,112.93,112.93,112.38,112.38,5.18294890777058,7.628281701286661,,,,
1971-12-20,111.16,111.29,111.16,111.29,4.021116575206207,7.347452055505444,,,,
1971-12-27,111.39,111.47,111.21,111.21,3.951110793261222,7.190871275912384,,,,
1972-01-03,111.19,111.27,111.02,111.04,3.7997257005303027,7.039821940918072,,,,
1972-01-10,110.94,110.97,110.03,110.03,3.051635871188637,6.847409786100473,,,,
1972-01-17,109.86,110.04,109.86,110.04,3.2547286867623626,6.450824549525765,,,,
1972-01-24,109.86,109.86,109.65,109.65,2.991522752993987,6.073349572554988,,,,
1972-01-31,109.6,109.6,109.01,109.35,2.803697748433663,5.587224419785946,,,,
1972-02-07,109.2,109.2,108.89,108.9,2.545522836431573,5.099429630349034,,,,
1972-02-14,108.94,108.94,108.56,108.6,2.387670619881135,4.558054041088726,,,,
1972-02-21,108.67,108.77,108.57,108.77,5.9469250632186,4.322067576866097,,,,
1972-02-28,108.8,108.8,108.58,108.58,5.696900676953277,4.156782052160943,,,,
1972-03-06,108.37,108.37,107.76,107.9,4.902487571149663,4.039112579906058,,,,
1972-03-13,108.12,109.19,108.12,109.19,25.987668003432816,5.465975843372418,,,,
1972-03-20,108.51,108.65,108.28,108.65,23.626156950656764,6.783347846435717,,,,
1972-03-27,108.46,108.46,108.37,108.4,22.602148977844237,8.11056444662415,,,,
1972-04-03,108.4,108.53,108.4,108.46,23.45957575741096,9.504026229777702,,,,
1972-04-10,108.27,108.66,108.27,108.54,24.65804921953486,10.99390648113517,,,,
1972-04-17,108.55,108.85,108.55,108.65,26.365338959109863,12.659170987415255,,,,
1972-04-24,108.62,108.62,108.56,108.62,26.19102342484456,14.297477754421127,,,,
1972-05-01,108.58,108.58,108.49,108.52,25.583823633825006,15.911213531623345,,,,
1972-05-08,108.52,108.52,108.27,108.37,24.66028887286997,17.472398611940225,,,,
1972-05-15,108.46,108.52,108.38,108.38,24.855040490233065,19.065935587211758,,,,
1972-05-22,108.37,108.37,108.25,108.29,24.247532676092348,20.62735430551256,,,,
1972-05-29,108.27,108.27,108.11,108.11,23.034875763346164,21.847922212664525,,,,
1972-06-05,108.13,108.16,108.05,108.05,22.628627023877684,23.057331237444846,,,,
1972-06-12,108.06,108.2,107.97,108.2,26.135859029008785,24.574000627291923,,,,
1972-06-19,108.25,108.77,108.22,108.22,26.61352427485798,24.618704646679436,,,,
1972-06-26,108.36,108.56,108.18,108.51,33.344509069695505,25.3128726551822,,,,
1972-07-03,108.61,108.61,108.51,108.58,34.89671802881078,26.19105615882267,,,,
1972-07-10,108.59,108.61,108.46,108.48,33.689742166434314,26.921782330895763,,,,
1972-07-17,108.53,108.72,108.53,108.72,39.13107805996753,27.955570105212384,,,,
1972-07-24,108.79,108.79,108.73,108.76,40.01457288023294,28.930515385292605,,,,
1972-07-31,108.76,108.82,108.76,108.76,40.01457288023294,29.917911774963205,,,,
1972-08-07,108.76,108.81,108.76,108.81,41.25077621388558,31.036979816396098,,,,
1972-08-14,108.79,108.96,108.79,108.96,44.918177194312,32.48397183935624,,,,
1972-08-21,109.03,109.03,108.9,108.99,45.64894419526371,33.96925067542986,,,,
1972-08-28,108.96,108.98,108.96,108.98,45.43257203727775,35.48246777265739,,,,
1972-09-04,109,109,108.91,108.95,44.74733045607822,37.033357393566824,,,,
1972-09-11,108.99,109,108.96,109,46.20366942735342,38.71728899381509,,,,
1972-09-18,109.06,109.1,109.06,109.09,48.81870536184749,40.33749230330357,,,,
1972-09-25,109.12,109.39,109.12,109.39,56.42280364583112,42.466726544087365,,,,
1972-10-02,109.51,109.54,109.22,109.25,52.5025991499959,43.83516154982311,,,,
1972-10-09,109.35,109.48,109.35,109.48,57.70205411512554,45.46411412741702,,,,
1972-10-16,109.55,109.55,109.47,109.54,58.96405740609449,47.26942235882132,,,,
1972-10-23,109.77,109.93,109.77,109.9,65.59658029737872,49.15981537577926,,,,
1972-10-30,109.98,109.98,109.73,109.78,61.9993760973689,50.73015846271755,,,,
1972-11-06,109.81,109.9,109.81,109.89,63.95090241597647,52.43989628669923,,,,
